zip	city	state_id	population	county_name
77449	Katy	TX	122814	Harris
77494	Katy	TX	114989	Fort Bend
11368	Corona	NY	112425	Queens
79936	El Paso	TX	112355	El Paso
60629	Chicago	IL	111850	Cook
90011	Los Angeles	CA	109414	Los Angeles
77084	Houston	TX	107700	Harris
11385	Ridgewood	NY	106717	Queens
90650	Norwalk	CA	105886	Los Angeles
91331	Pacoima	CA	105799	Los Angeles
10467	Bronx	NY	103732	Bronx
75034	Frisco	TX	102646	Denton
11211	Brooklyn	NY	102624	Kings
90201	Bell Gardens	CA	102433	Los Angeles
08701	Lakewood	NJ	100763	Ocean
11236	Brooklyn	NY	100331	Kings
11226	Brooklyn	NY	100277	Kings
92335	Fontana	CA	99284	San Bernardino
11208	Brooklyn	NY	98660	Kings
75070	Mckinney	TX	98219	Collin
37013	Antioch	TN	97819	Davidson
90250	Hawthorne	CA	96836	Los Angeles
90805	Long Beach	CA	96708	Los Angeles
92336	Fontana	CA	96575	San Bernardino
00926	San Juan	PR	96530	San Juan
91342	Sylmar	CA	96487	Los Angeles
90044	Los Angeles	CA	96436	Los Angeles
94565	Pittsburg	CA	96081	Contra Costa
11234	Brooklyn	NY	95666	Kings
11220	Brooklyn	NY	95643	Kings
75052	Grand Prairie	TX	95516	Dallas
90280	South Gate	CA	95103	Los Angeles
92503	Riverside	CA	94512	Riverside
60618	Chicago	IL	94395	Cook
10456	Bronx	NY	94218	Bronx
11373	Elmhurst	NY	93967	Queens
11214	Brooklyn	NY	92946	Kings
10025	New York	NY	92805	New York
77479	Sugar Land	TX	92146	Fort Bend
78521	Brownsville	TX	92108	Cameron
11207	Brooklyn	NY	91972	Kings
92683	Westminster	CA	91376	Orange
60632	Chicago	IL	91039	Cook
10314	Staten Island	NY	90761	Richmond
30043	Lawrenceville	GA	90675	Gwinnett
91710	Chino	CA	90582	San Bernardino
60639	Chicago	IL	90517	Cook
92704	Santa Ana	CA	90340	Orange
11219	Brooklyn	NY	90036	Kings
78660	Pflugerville	TX	89830	Travis
11230	Brooklyn	NY	89075	Kings
92804	Anaheim	CA	88749	Orange
11206	Brooklyn	NY	88349	Kings
77429	Cypress	TX	88344	Harris
30044	Lawrenceville	GA	88040	Gwinnett
77584	Pearland	TX	87986	Brazoria
60647	Chicago	IL	87509	Cook
91744	La Puente	CA	87240	Los Angeles
92376	Rialto	CA	87027	San Bernardino
77573	League City	TX	86926	Galveston
75217	Dallas	TX	86896	Dallas
92154	San Diego	CA	86811	San Diego
95076	Watsonville	CA	86703	Santa Cruz
11377	Woodside	NY	86421	Queens
60623	Chicago	IL	85979	Cook
91911	Chula Vista	CA	85365	San Diego
94112	San Francisco	CA	85166	San Francisco
93307	Bakersfield	CA	84809	Kern
92592	Temecula	CA	84418	Riverside
10458	Bronx	NY	83960	Bronx
11221	Brooklyn	NY	83835	Kings
93033	Oxnard	CA	83782	Ventura
11229	Brooklyn	NY	83615	Kings
93722	Fresno	CA	83179	Fresno
60804	Cicero	IL	83147	Cook
93727	Fresno	CA	82920	Fresno
22193	Woodbridge	VA	82573	Prince William
92126	San Diego	CA	82572	San Diego
60617	Chicago	IL	82534	Cook
77433	Cypress	TX	82257	Harris
29483	Summerville	SC	81942	Dorchester
11223	Brooklyn	NY	81789	Kings
92509	Jurupa Valley	CA	81214	Riverside
11355	Flushing	NY	80853	Queens
92345	Hesperia	CA	80808	San Bernardino
00725	Caguas	PR	80555	Caguas
91335	Reseda	CA	80524	Los Angeles
66062	Olathe	KS	80489	Johnson
79912	El Paso	TX	80264	El Paso
78572	Mission	TX	80213	Hidalgo
79938	El Paso	TX	80143	El Paso
77083	Houston	TX	79996	Harris
77379	Spring	TX	79986	Harris
78613	Cedar Park	TX	79699	Williamson
10453	Bronx	NY	79606	Bronx
10029	New York	NY	79597	New York
91709	Chino Hills	CA	79298	San Bernardino
78666	San Marcos	TX	79276	Guadalupe
95823	Sacramento	CA	79272	Sacramento
60625	Chicago	IL	79243	Cook
94544	Hayward	CA	79235	Alameda
60608	Chicago	IL	79205	Cook
75211	Dallas	TX	79010	Dallas
87121	Albuquerque	NM	78900	Bernalillo
99301	Pasco	WA	78767	Franklin
10468	Bronx	NY	78647	Bronx
27610	Raleigh	NC	78475	Wake
11235	Brooklyn	NY	78128	Kings
78577	Pharr	TX	77835	Hidalgo
95035	Milpitas	CA	77562	Santa Clara
90706	Bellflower	CA	77529	Los Angeles
91706	Baldwin Park	CA	77342	Los Angeles
30024	Suwanee	GA	77334	Gwinnett
60505	Aurora	IL	77190	Kane
37042	Clarksville	TN	77168	Montgomery
93550	Palmdale	CA	77006	Los Angeles
11204	Brooklyn	NY	76978	Kings
95630	Folsom	CA	76973	Sacramento
93257	Porterville	CA	76923	Tulare
76244	Keller	TX	76882	Tarrant
37211	Nashville	TN	76834	Davidson
77036	Houston	TX	76831	Harris
11233	Brooklyn	NY	76819	Kings
28269	Charlotte	NC	76811	Mecklenburg
10462	Bronx	NY	76756	Bronx
11212	Brooklyn	NY	76527	Kings
23464	Virginia Beach	VA	76495	Virginia Beach
78245	San Antonio	TX	76177	Bexar
10452	Bronx	NY	76078	Bronx
60634	Chicago	IL	75995	Cook
47906	West Lafayette	IN	75899	Tippecanoe
92553	Moreno Valley	CA	75830	Riverside
33012	Hialeah	FL	75666	Miami-Dade
94533	Fairfield	CA	75635	Solano
78542	Edinburg	TX	75569	Hidalgo
90255	Huntington Park	CA	75560	Los Angeles
30349	Atlanta	GA	75514	Fulton
11203	Brooklyn	NY	75451	Kings
33024	Hollywood	FL	75306	Broward
10002	New York	NY	74993	New York
19120	Philadelphia	PA	74971	Philadelphia
94587	Union City	CA	74601	Alameda
10457	Bronx	NY	74554	Bronx
11218	Brooklyn	NY	74508	Kings
63376	Saint Peters	MO	74448	St. Charles
92805	Anaheim	CA	74413	Orange
85364	Yuma	AZ	74382	Yuma
91910	Chula Vista	CA	74297	San Diego
96797	Waipahu	HI	74262	Honolulu
78130	New Braunfels	TX	74172	Comal
94110	San Francisco	CA	74161	San Francisco
00949	Toa Baja	PR	73891	Toa Baja
